name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
PNRA-CRSF-OCOT-Ocotillo_set3-CFM4,1,CMDT,CFM4,CFM4 model,,,,,,,,,,
PNRA-CRSF-OCOT-Ocotillo_set4-CFM4,1,CMDT,CFM4,CFM4 model,,,,,,,,,,
PNRA-CRSF-OCOT-Ocotillo_set5-CFM4,1,CMDT,CFM4,CFM4 model,,,,,,,,,,
PNRA-CRSF-PGWS-Painted_Gorge_Wash_fault-CFM4,1,CMDT,CFM4,CFM4 model,,,,355372000,,,,,,312
PNRA-CRSF-USAV-Fontana_Seismicity_lineament-CFM1,1,HRVD,CFM1,"bestfit, CFMA model",CFMA,222.871,80.225,396376000,,,,,,missing
PNRA-CRSF-USAV-Red_Hill_fault-CFM5,1,UCSB,CFM5,,,,,,,,,,,332
PNRA-CRSF-YUHA-Shell_Beds_fault-CFM5,1,CMDT,CFM5,CFM5 model,,200.534,82.5059,45054100,,,,,"mapped by CGS, probably has id",missing
PNRA-CRSF-YUHA-Yuha_Wash_fault-CFM5,1,CMDT,CFM5,CFM5 model,,198.859,80.5846,33843100,,,,,"mapped by CGS, probably has id",missing
PNRA-CRSF-YUHA-Yuha_Well_Vista_del_Anza_fault_truncated-CFM5,1,CMDT,CFM5,truncated-CFM5 model,,20.077,86.4962,17084800,,,,,,309
PNRA-CRSF-YUHA-Yuha_Well_fault-CFM5,1,CMDT,CFM5,CFM5 model,,202.649,88.7626,69574900,,,,,,309
