name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_C-CFM5,UCSB,CFM5,309,43,73.86,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_D-CFM5,UCSB,CFM5,320,47,80.11,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_E-CFM5,UCSB,CFM5,299,24,24.59,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_F-CFM5,UCSB,CFM5,320,49,50.08,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_YngB-CFM5,UCSB,CFM5,318,30,32.89,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020"
OCBA-WBFS-HNTB-Huntington_Beach_fault-CFM5,HRVD,CFM5,294,40,169.47,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019"
OCBA-WBFS-TRNC-Torrance_blind_fault-CFM5,HRVD,CFM5,302,37,262.11,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019"
OCBA-WBFS-WLMT-Wilmington_blind_fault-CFM5,HRVD,CFM5,298,38,170.52,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019"
OCCA-HSFZ-MULT-Hosgri_fault-CFM5,UCSB,CFM5,333,84,2346.75,surface,orlr,,80+81a-e,coastal Qfaults+seismicity+Willingham/Sorlien models,"Walton et al., 2019; Hauksson et al. 2012+updates; Willingham et al., 2013; Sorlien et al., 2015; Nicholson et al., 2019"
OCCA-HSFZ-STHN-Southern_Hosgri_fault-CFM5,UCSB,CFM5,331,80,40.76,surface,orlr,,81e,Sorlien model from MCS; CVMH; Trimmed to seafloor,"Sorlien et al., 2015; Nicholson et al., 2019"
OCCA-OSMB-EAST-Lompoc_fault-CFM5,UCSB,CFM5,330,59,130.15,blind,orlr,,483,Sorlien model from MCS; CVMH,"Sorlien et al., 1999, 2015; Nicholson et al., 2019"
OCCA-OSMB-EAST-Purisima_fault_center-CFM5,UCSB,CFM5,7,84,42.28,blind,orlr,,484,Sorlien model from MCS; CVMH,"Sorlien et al., 1999, 2015; Nicholson et al., 2019"
OCCA-OSMB-EAST-Purisima_fault_east-CFM5,UCSB,CFM5,319,52,17.46,blind,orlr,,484,Sorlien model from MCS; CVMH,"Sorlien et al., 1999, 2015; Nicholson et al., 2019"
OCCA-OSMB-EAST-Purisima_fault_north-CFM5,UCSB,CFM5,349,65,38.62,blind,orlr,,484,Sorlien model from MCS; CVMH,"Sorlien et al., 1999, 2015; Nicholson et al., 2019"
