CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,7,Mojave Fault Area,MJVA,4,Johnson Valley-Homestead Valley fault zone,JVHZ,3,Homestead Valley,HMSV,1,Homestead Valley fault,HSVF,1,HRVD,CFM3,,332,90,390.53,surface,rlss,,116,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-HPFZ-MULT-Gravel_Hills_Harper_Lake_fault-CFM5,7,Mojave Fault Area,MJVA,5,Harper fault zone,HPFZ,0,Gravel Hills-Harper Lake,MULT,1,Gravel Hills-Harper Lake fault,GHLF,1,UCSB,CFM5,,311,88,685.67,surface,rlss,,112,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
MJVA-HPFZ-GVHS-Gravel_Hills_fault_nw-CFM5,7,Mojave Fault Area,MJVA,5,Harper fault zone,HPFZ,2,Gravel Hills,GVHS,2,Gravel Hills fault-nw,GVHN,1,CMDT,CFM5,,302,90,101.81,surface,rlss,,112,nw splay; relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-HPFZ-GVHS-Harper_Valley_fault-CFM5,7,Mojave Fault Area,MJVA,5,Harper fault zone,HPFZ,2,Gravel Hills,GVHS,3,Harper Valley fault,HPVF,1,CMDT,CFM5,,320,87,78.53,surface,rlss,,112,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-HPFZ-HPVS-Harper_Valley_Mt_General_fault-CFM5,7,Mojave Fault Area,MJVA,5,Harper fault zone,HPFZ,3,Harper Valley,HPVS,1,Harper Valley - Mt_General fault,HMGF,1,CMDT,CFM5,,318,89,373.31,surface,rlss,Proposed 343a+b,343,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,7,Mojave Fault Area,MJVA,6,Camp Rock-Emerson-Copper Mountain fault zone,CREC,1,Camp Rock,CMPR,1,Camp Rock fault,CPRF,1,UCSB,CFM5,,312,90,459.42,surface,rlss,,114a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-CREC-EMRS-North_Emerson_fault-CFM3,7,Mojave Fault Area,MJVA,6,Camp Rock-Emerson-Copper Mountain fault zone,CREC,2,Emerson,EMRS,2,North Emerson fault,NEMF,2,HRVD,CFM3,,143,90,568.63,surface,rlss,,114b,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-CREC-EMRS-Emerson_fault-CFM5,7,Mojave Fault Area,MJVA,6,Camp Rock-Emerson-Copper Mountain fault zone,CREC,2,Emerson,EMRS,1,Emerson fault,EMSF,1,UCSB,CFM5,,148,87,459.06,surface,rlss,,114b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-CREC-EMRS-Galway_Lake_fault-CFM2,7,Mojave Fault Area,MJVA,6,Camp Rock-Emerson-Copper Mountain fault zone,CREC,2,Emerson,EMRS,3,Galway Lake fault,GLWF,1,HRVD,CFM2,,168,90,140.47,surface,rlss,,114b,,"Bryant 2005+updates; Hauksson et al., 2012+updates"
MJVA-CREC-CPMT-Copper_Mountain_fault-CFM5,7,Mojave Fault Area,MJVA,6,Camp Rock-Emerson-Copper Mountain fault zone,CREC,3,Copper Mountain,CPMT,1,Copper Mountain fault,CMTF,1,UCSB,CFM5,,140,87,132.97,surface,rlss,,114c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-BWFZ-MULT-Blackwater_fault-CFM5,7,Mojave Fault Area,MJVA,7,Blackwater fault zone,BWFZ,0,Multiple sections,MULT,1,Blackwater fault,BWTF,1,UCSB,CFM5,,144,86,513.43,surface,rlss,,113,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,7,Mojave Fault Area,MJVA,8,Calico-Hildalgo fault zone,CHFZ,0,Multiple sections,MULT,1,Calico-Hildalgo fault,CLHF,1,UCSB,CFM5,,322,85,1769.24,surface,rlss,,121a-c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-CHFZ-WCLS-West_Calico_FaultA_fault-CFM5,7,Mojave Fault Area,MJVA,8,Calico-Hildalgo fault zone,CHFZ,2,West Calico section,WCLS,1,West Calico fault,WCLF,1,CMDT,CFM5,,152,87,521.34,surface,rlss,,121b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,7,Mojave Fault Area,MJVA,9,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,0,Pisgah-West_Bullion,MULT,2,Pisgah-Bullion-West_Bullion fault,PBWB,1,CMDT,CFM5,,328,86,1468.29,surface,rlss,,122a-d,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-PBMZ-EBLS-East_Bullion_Valley_Mountain_fault-CFM5,7,Mojave Fault Area,MJVA,9,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,3,East Bullion,EBLS,0,East Bullion-Valley Mountain fault,EBVM,1,UCSB,CFM5,,322,90,644.96,surface,rlss,,122c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
